ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	1030.777	0.26838	0.06051	0.04787	25.99761	0.19058	0.52145	8.10016	0.62589	4752.53658
10	1	1	10.5	3003.45149	0.37779	0.1763	0.04149	28.21398	0.35522	0.45198	4.70733	0.66127	12680.43855
11	1	1	11.5	3504.75577	0.42679	0.20573	0.06106	32.215	0.19741	0.6651	11.11134	0.719	23416.13672
34	1	2	10.5	2139.88199	0.33813	0.12561	0.05252	28.94179	0.19488	0.57211	8.04144	0.67237	11194.79468
35	1	2	11.5	4018.34958	0.45482	0.23588	0.05895	32.03595	0.19787	0.64212	9.69683	0.71659	26135.92831
36	1	2	12.5	23920.71146	1.0	1.40415	0.35071	68.5711	0.20219	3.82032	42141.45041	0.95956	282275840.0
37	1	2	13.5	31820.84722	1.0	1.86788	0.35956	70.88067	0.73172	3.91674	43939.53768	0.96449	403251200.0
38	1	2	14.5	4845.08857	0.49302	0.28441	0.04862	30.62184	0.2316	0.52958	6.45066	0.69697	27878.4743
39	1	2	15.5	2134.85719	0.33728	0.12532	0.05196	28.70798	0.19511	0.56602	8.91507	0.66883	12620.46416
106	1	5	10.5	3020.02383	0.37833	0.17728	0.04105	28.43989	0.43604	0.44717	4.67581	0.66474	12435.66556
107	1	5	11.5	4254.33778	0.46414	0.24973	0.05441	31.25196	0.19988	0.59267	7.95144	0.70583	25408.33112
108	1	5	12.5	23299.65703	1.0	1.36769	0.34718	68.07414	0.20314	3.78186	39205.96068	0.95841	274944000.0
109	1	5	13.5	30500.87499	1.0	1.7904	0.35998	70.01484	0.35154	3.92132	45797.91271	0.96272	364685942.33075
110	1	5	14.5	5284.8171	0.51704	0.31022	0.04682	30.83077	0.38643	0.51002	5.87906	0.69993	28785.0715
111	1	5	15.5	2270.38935	0.34397	0.13327	0.0507	28.75589	0.21764	0.55231	8.42163	0.66956	13038.43855
181	1	8	13.5	8477.19204	0.97432	0.49761	0.31671	61.01254	0.19864	3.45002	18419.0448	0.93827	64893482.51449
182	1	8	14.5	4533.61315	0.48099	0.26612	0.05486	31.62854	0.19787	0.59763	8.67629	0.71104	29465.21469
183	1	8	15.5	2141.04585	0.3374	0.12568	0.05172	28.76844	0.19507	0.56344	9.11169	0.66975	12346.16556
201	1	9	9.5	1030.01285	0.2684	0.06046	0.04793	26.01608	0.19048	0.52215	8.16924	0.6262	4713.71833
202	1	9	10.5	2741.93998	0.36521	0.16095	0.04426	28.04398	0.21763	0.48211	5.7434	0.65864	12429.86696
203	1	9	11.5	3524.64957	0.42698	0.2069	0.06008	32.02754	0.19751	0.65446	10.70621	0.71647	23069.73392
225	1	10	9.5	1057.26777	0.26938	0.06206	0.04732	25.97074	0.191	0.51547	7.97682	0.62545	4774.91158
226	1	10	10.5	3145.89191	0.3843	0.18466	0.03964	29.31829	0.79296	0.4318	4.49147	0.678	12316.63995
227	1	10	11.5	4638.58127	0.47934	0.27228	0.04705	31.57356	0.90585	0.51253	5.02514	0.71028	20945.99216
228	1	10	12.5	46363.22474	1.0	2.72152	0.36022	74.15654	0.98736	3.92395	52490.43511	0.9705	634937344.0
229	1	10	13.5	44977.64554	1.0	2.64019	0.36429	74.13044	1.57836	3.96833	50875.94459	0.97045	608542720.0
230	1	10	14.5	6130.95002	0.56089	0.35989	0.041	33.26505	1.77137	0.44667	4.16738	0.73283	25598.92831
231	1	10	15.5	2429.42332	0.35294	0.14261	0.05034	29.07318	0.25022	0.54832	8.20511	0.67434	13670.73715
249	1	11	9.5	890.63803	0.26123	0.05228	0.04895	25.49504	0.17657	0.53323	8.28032	0.61755	4314.00079
250	1	11	10.5	2368.51035	0.34505	0.13903	0.04602	27.92657	0.19503	0.50126	6.39736	0.65682	10902.56768
251	1	11	11.5	4348.99616	0.46829	0.25529	0.053	31.12947	0.23567	0.57736	7.36868	0.70413	24812.27991
252	1	11	12.5	36855.8225	1.0	2.16344	0.35815	72.69451	0.98143	3.90146	51243.92701	0.96795	508829696.0
253	1	11	13.5	44961.58154	1.0	2.63924	0.36723	74.16725	1.33401	4.00035	55608.078	0.97051	592787176.16406
254	1	11	14.5	6169.73257	0.56423	0.36216	0.04207	33.47169	1.76667	0.45826	4.36772	0.73549	26493.92831
255	1	11	15.5	2460.59295	0.35483	0.14444	0.05039	29.21394	0.26682	0.54895	8.15758	0.67645	13766.03575
417	1	18	9.5	1135.87752	0.2733	0.06668	0.04663	26.04529	0.1915	0.50793	7.79076	0.62668	5001.56054
418	1	18	10.5	3217.72811	0.38754	0.18888	0.03866	29.16798	0.71329	0.42113	4.44317	0.67576	12077.66556
419	1	18	11.5	4634.66304	0.47926	0.27205	0.04721	31.5479	0.86516	0.51425	5.1308	0.70993	20766.99216
420	1	18	12.5	14336.09364	1.0	0.84153	0.34111	64.84015	0.9686	3.7158	34241.26096	0.95014	298405888.0
421	1	18	13.5	37935.84872	1.0	2.22683	0.35915	72.18682	1.09923	3.91234	50634.48696	0.96702	541089792.0
422	1	18	14.5	5594.76027	0.53528	0.32841	0.04686	31.93377	0.76812	0.5105	6.03407	0.7152	30061.2659
423	1	18	15.5	2391.71393	0.35374	0.14039	0.05334	29.46936	0.1973	0.5811	9.6413	0.68024	14034.53575
585	1	25	9.5	1408.46873	0.28377	0.08268	0.04109	25.34138	0.19602	0.44762	6.13416	0.61497	5916.44628
586	1	25	10.5	2768.26361	0.36448	0.1625	0.04198	28.22683	0.35388	0.45733	5.44361	0.66147	11445.36628
587	1	25	11.5	4111.17061	0.45735	0.24133	0.05602	31.58697	0.20204	0.61026	8.98017	0.71047	25539.87711
588	1	25	12.5	5419.53935	0.5345	0.31813	0.05638	32.70662	0.20191	0.61413	9.99415	0.72554	35001.55228
589	1	25	13.5	6907.06498	0.61688	0.40544	0.05144	32.79099	0.4026	0.56033	7.99395	0.72665	37721.34114
590	1	25	14.5	5767.93907	0.54536	0.33858	0.04679	33.02322	1.21248	0.50965	6.22111	0.72969	31624.81189
591	1	25	15.5	2834.18092	0.37719	0.16637	0.05083	30.44287	0.36715	0.55369	8.30352	0.69442	15180.10735
592	1	25	16.5	934.99508	0.26758	0.05488	0.0527	26.68152	0.18852	0.57403	10.16836	0.63706	5281.24804
660	1	28	12.5	4580.11746	0.49099	0.26885	0.06214	33.63654	0.19936	0.67687	13.09614	0.73759	31982.81189
661	1	28	13.5	6613.67342	0.60269	0.38822	0.05447	32.96893	0.21342	0.59335	9.24388	0.72899	38557.29266
662	1	28	14.5	5667.01355	0.54047	0.33265	0.04781	32.57193	0.87068	0.52084	6.69369	0.72376	32161.81189
663	1	28	15.5	2903.33089	0.38112	0.17043	0.0507	30.46842	0.36037	0.55228	8.27985	0.69478	15454.40594
664	1	28	16.5	929.91369	0.26838	0.05459	0.05379	27.04284	0.19097	0.58596	10.79941	0.64287	5146.99804
681	1	29	9.5	1483.3732	0.28938	0.08707	0.0423	25.87698	0.19302	0.46082	6.63255	0.6239	5946.43348
682	1	29	10.5	2925.47567	0.37496	0.17173	0.04323	28.78044	0.38112	0.47095	5.77891	0.66993	12346.16556
683	1	29	11.5	3644.24095	0.43071	0.21392	0.05679	31.47481	0.19794	0.61862	9.69422	0.70892	22938.18793
686	1	29	14.5	3541.00727	0.42687	0.20786	0.05901	32.0788	0.19714	0.64285	11.66685	0.71717	23964.73392
687	1	29	15.5	2031.80961	0.33705	0.11927	0.05778	30.1351	0.19499	0.62944	11.69372	0.68999	12161.36696
707	1	30	11.5	2924.00067	0.39255	0.17164	0.06091	31.83285	0.19612	0.66349	11.81328	0.71383	18586.37334
708	1	30	12.5	4189.73746	0.46756	0.24594	0.06162	33.26749	0.19885	0.67127	12.76924	0.73286	27699.4743
709	1	30	13.5	4592.6361	0.48956	0.26959	0.05997	33.24163	0.19968	0.65325	12.15964	0.73253	27890.0715
