ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	393.29023	0.28912	0.02309	0.10603	26.34915	0.00019	1.15504	76.26275	0.63166	304300.0
10	1	1	10.5	959.71899	0.21804	0.05634	0.00171	9.17648	0.02853	0.01862	2.94565	0.30432	2094.55722
11	1	1	11.5	935.74731	0.38565	0.05493	0.17072	34.99146	0.0002	1.85966	266.51713	0.75439	1278728.63733
34	1	2	10.5	636.76054	0.19738	0.03738	0.0	0.0	0.0	0.0	2.51839	0.14352	1234.76278
35	1	2	11.5	1136.26825	0.4254	0.0667	0.19871	38.16705	0.00022	2.16455	515.53405	0.79033	2377120.0
36	1	2	12.5	1339.82016	0.45641	0.07865	0.21776	40.5329	0.00021	2.37213	957.96434	0.81412	3585728.0
37	1	2	13.5	1453.56717	0.48965	0.08532	0.24433	43.3248	0.0009	2.66154	1664.56146	0.83913	4891650.47485
38	1	2	14.5	1033.56756	0.44172	0.06067	0.22105	40.01873	0.00333	2.40793	1014.25955	0.80915	2944192.0
39	1	2	15.5	509.93741	0.18993	0.02993	0.0	0.0	0.0	0.0	3.15223	0.14352	1873.04827
106	1	5	10.5	980.47117	0.22123	0.05755	0.00367	12.15777	0.06998	0.04001	2.97948	0.36378	2172.86972
107	1	5	11.5	1377.64463	0.46242	0.08087	0.22155	40.91333	0.00015	2.41343	908.7483	0.81771	3550495.08459
108	1	5	12.5	1357.69001	0.45019	0.0797	0.2105	39.90313	0.00442	2.293	807.45703	0.80802	3494080.0
109	1	5	13.5	1462.93721	0.47613	0.08587	0.23025	41.99234	0.00259	2.5082	1193.58075	0.82759	4456384.0
110	1	5	14.5	1175.95054	0.45673	0.06903	0.2277	41.11286	0.02284	2.48044	1208.83349	0.81958	3445111.19134
111	1	5	15.5	554.09697	0.1926	0.03253	7e-05	0.0	0.00132	0.00081	3.22939	0.14352	2116.2074
181	1	8	13.5	751.85414	0.3457	0.04413	0.14157	31.65349	0.00023	1.54211	145.12845	0.71138	799056.0
182	1	8	14.5	902.49353	0.40466	0.05298	0.19169	36.83969	0.00023	2.08808	521.20447	0.77588	1873056.0
183	1	8	15.5	512.28447	0.19007	0.03007	0.0	0.0	0.0	0.0	3.0657	0.14352	1814.1449
201	1	9	9.5	397.90687	0.28023	0.02336	0.09687	25.5062	0.0002	1.05528	64.56047	0.61773	294276.0
202	1	9	10.5	876.68243	0.21146	0.05146	0.0	0.0	0.0	0.0	2.79993	0.14352	1815.59455
203	1	9	11.5	978.39066	0.38272	0.05743	0.16529	34.62907	0.00022	1.80055	246.03118	0.74999	1389040.0
225	1	10	9.5	416.16213	0.28617	0.02443	0.10174	26.10868	0.00019	1.10832	73.77436	0.62772	320052.0
226	1	10	10.5	1059.63593	0.22971	0.0622	0.00751	15.48452	0.2176	0.08183	3.04479	0.43077	2408.53205
227	1	10	11.5	1862.44098	0.51385	0.10933	0.24452	44.68093	0.25447	2.66366	1583.76924	0.85017	6804864.0
228	1	10	12.5	1948.58925	0.52953	0.11438	0.25515	45.38	0.01087	2.77942	2444.83959	0.85558	8028137.66251
229	1	10	13.5	1846.72549	0.52461	0.1084	0.25621	45.31079	0.01314	2.79095	2324.63184	0.85506	7383234.24151
230	1	10	14.5	1413.96118	0.48738	0.083	0.24438	43.42163	0.07679	2.66204	1810.00017	0.83994	5556160.0
231	1	10	15.5	607.10477	0.19655	0.03564	0.00091	5.52175	0.01514	0.00995	3.23961	0.23482	2310.0856
249	1	11	9.5	317.99105	0.30928	0.01867	0.13061	28.02703	0.00018	1.42281	152.23151	0.65838	373752.0
250	1	11	10.5	759.87039	0.2046	0.0446	0.0	0.0	0.0	0.0	2.69223	0.14352	1500.8949
251	1	11	11.5	1495.78387	0.46908	0.0878	0.22128	41.14918	0.00062	2.41047	946.1468	0.81991	3947412.90879
252	1	11	12.5	1841.43331	0.51035	0.10809	0.24225	43.92647	0.01144	2.63893	1811.39714	0.84411	6510534.22689
253	1	11	13.5	1817.39541	0.52298	0.10668	0.2563	45.22279	0.01413	2.79191	2346.97059	0.85438	7338591.36108
254	1	11	14.5	1416.86582	0.48485	0.08317	0.24168	43.16762	0.07608	2.63273	1716.34133	0.83781	5327040.0
255	1	11	15.5	617.63824	0.19736	0.03626	0.00111	6.26684	0.01824	0.01207	3.25924	0.24854	2363.05722
417	1	18	9.5	467.10036	0.28169	0.02742	0.09428	25.73714	0.00018	1.02696	67.14179	0.62158	350124.0
418	1	18	10.5	1338.75299	0.44508	0.07858	0.20649	40.3404	0.27063	2.24937	765.55963	0.81227	3585728.0
419	1	18	11.5	1917.52034	0.50698	0.11256	0.23442	43.82425	0.24853	2.55358	1360.01153	0.84328	6667392.0
420	1	18	12.5	2001.62444	0.51817	0.1175	0.24067	44.13417	0.01981	2.62171	1853.14436	0.8458	7812992.0
421	1	18	13.5	1795.25639	0.50307	0.10538	0.23769	43.40496	0.01358	2.58921	1608.52117	0.8398	6621568.0
422	1	18	14.5	1274.03095	0.4509	0.07479	0.21611	40.30741	0.04398	2.35416	1011.18358	0.81195	3700288.0
423	1	18	15.5	590.25727	0.19465	0.03465	0.0	0.0	0.0	0.0	2.9609	0.14352	1915.55722
585	1	25	9.5	656.02277	0.35834	0.03851	0.15983	32.93827	0.00024	1.74104	343.79966	0.72858	1194288.0
586	1	25	10.5	1115.84557	0.41014	0.0655	0.18464	37.11777	0.06024	2.01132	523.99899	0.77897	2434400.0
587	1	25	11.5	1354.58784	0.42252	0.07951	0.18301	37.30054	0.00277	1.99353	460.69601	0.78099	2479429.09797
588	1	25	12.5	1336.28099	0.42051	0.07844	0.18207	37.21414	0.00235	1.9833	515.58206	0.78004	2511534.11522
589	1	25	13.5	1527.81935	0.4528	0.08968	0.20312	39.60792	0.00871	2.21263	792.28333	0.80511	3837760.0
590	1	25	14.5	1413.21894	0.45626	0.08296	0.2133	40.40644	0.06805	2.32357	1049.52379	0.81291	3878901.14411
591	1	25	15.5	791.39319	0.20847	0.04645	0.00202	9.22911	0.06326	0.02199	3.1189	0.30535	2718.81617
592	1	25	16.5	266.16693	0.17562	0.01562	0.0	0.0	0.0	0.0	3.36171	0.14352	1014.44094
660	1	28	12.5	1025.136	0.32639	0.06018	0.10621	29.29114	0.00075	1.15697	82.8447	0.6776	787600.0
661	1	28	13.5	1418.63363	0.42787	0.08327	0.18459	37.62636	0.00519	2.01083	535.40314	0.78454	2967104.0
662	1	28	14.5	1422.60382	0.44882	0.08351	0.20532	39.69036	0.05829	2.23658	915.0735	0.80593	3612898.69105
663	1	28	15.5	830.97838	0.2109	0.04878	0.00212	9.56695	0.0701	0.02312	3.11945	0.31201	2825.82225
664	1	28	16.5	268.99944	0.17579	0.01579	0.0	0.0	0.0	0.0	3.07272	0.14352	888.37927
681	1	29	9.5	679.3444	0.33469	0.03988	0.13481	30.72817	0.00023	1.46855	208.88673	0.69848	947984.0
682	1	29	10.5	1209.33986	0.40776	0.07099	0.17677	36.74147	0.09378	1.92557	471.1418	0.77478	2319744.06828
683	1	29	11.5	1175.4463	0.38127	0.069	0.15227	34.01264	0.00041	1.6587	237.09697	0.74235	1689760.0
