ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	157.25738	0.16923	0.00923	0.0	0.0	0.0	0.0	2.64106	0.14352	469.16366
10	1	1	10.5	717.69858	0.46257	0.04213	0.26045	43.26497	0.00019	2.8371	9970.58695	0.83863	7572338.07261
11	1	1	11.5	454.85275	0.35276	0.0267	0.16606	32.5611	0.00021	1.80891	2829.02458	0.72362	3196224.0
34	1	2	10.5	362.12075	0.39221	0.02126	0.21095	36.13008	0.0002	2.29793	2863.91489	0.76782	2135915.26089
35	1	2	11.5	585.20265	0.38645	0.03435	0.1921	35.82859	0.00026	2.09256	5114.06319	0.76433	5739456.0
36	1	2	12.5	598.11441	0.38511	0.03511	0.19001	35.14749	0.00066	2.06977	7781.19998	0.75627	8265324.27913
37	1	2	13.5	696.77384	0.20094	0.0409	4e-05	0.0	0.00031	0.00044	2.39039	0.14352	2052.04827
38	1	2	14.5	582.39424	0.19914	0.03419	0.00495	11.69454	0.04113	0.05397	2.89275	0.35445	2360.81617
39	1	2	15.5	411.87811	0.18452	0.02418	0.00035	0.90688	0.00152	0.00378	3.51937	0.15706	2016.24472
106	1	5	10.5	731.16061	0.46103	0.04292	0.25811	43.13121	0.00027	2.81164	9281.11104	0.8375	7858816.0
107	1	5	11.5	717.11765	0.41323	0.04209	0.21114	38.31449	0.00025	2.3	7816.34928	0.79188	8637824.0
108	1	5	12.5	607.72424	0.38292	0.03567	0.18724	34.96987	0.00058	2.03967	7283.37858	0.75413	8089835.64419
109	1	5	13.5	692.61639	0.20066	0.04066	0.0	0.0	0.0	0.0	2.37005	0.14352	1981.166
110	1	5	14.5	649.75651	0.20439	0.03814	0.00625	12.98584	0.05313	0.06812	2.92205	0.38047	2663.6035
111	1	5	15.5	453.94031	0.19206	0.02665	0.00541	11.21548	0.02707	0.05896	3.44894	0.34484	2284.74472
181	1	8	13.5	349.01474	0.18049	0.02049	0.0	0.0	0.0	0.0	2.52404	0.14352	995.38535
182	1	8	14.5	488.64683	0.18868	0.02868	0.0	0.0	0.0	0.0	2.71888	0.14352	1936.416
183	1	8	15.5	393.06006	0.18307	0.02307	0.0	0.0	0.0	0.0	3.35603	0.14352	1960.30722
201	1	9	9.5	158.54243	0.16931	0.00931	0.0	0.0	0.0	0.0	2.67145	0.14352	480.53237
202	1	9	10.5	593.08142	0.44131	0.03481	0.24649	41.24817	0.00025	2.68509	6860.27933	0.82083	5441600.0
203	1	9	11.5	478.63193	0.35991	0.0281	0.17181	33.28264	0.00023	1.87157	3162.28675	0.73306	3345357.28719
225	1	10	9.5	164.29262	0.16964	0.00964	0.0	0.0	0.0	0.0	2.64846	0.14352	500.11049
226	1	10	10.5	786.48004	0.46761	0.04617	0.26144	43.68922	0.00024	2.84797	9981.73073	0.84217	8775296.0
227	1	10	11.5	1043.52333	0.46275	0.06125	0.24149	42.61409	0.02113	2.63062	15323.27485	0.83306	16718109.21668
228	1	10	12.5	865.28029	0.43825	0.05079	0.22746	39.94265	0.05196	2.47781	15431.61746	0.80841	18718811.142
229	1	10	13.5	861.25374	0.21383	0.05056	0.00327	11.29014	0.05024	0.03567	2.33123	0.34633	2848.3304
