ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	584.07818	0.20714	0.03429	0.01285	16.46952	0.1808	0.13998	5.8541	0.45043	4555.64368
10	1	1	10.5	5240.07309	0.78853	0.30759	0.32094	59.08509	0.44833	3.49606	34280.56552	0.93131	109611008.0
11	1	1	11.5	2516.02574	0.56101	0.14769	0.25332	48.52602	0.44911	2.75951	13554.94355	0.87783	44918677.60016
34	1	2	10.5	2203.54321	0.57882	0.12935	0.28947	52.23879	0.4416	3.15326	14835.20264	0.9	31010838.91643
35	1	2	11.5	3423.29267	0.63422	0.20095	0.27327	51.59565	0.45089	2.97681	20784.89858	0.89645	81933312.0
36	1	2	12.5	2448.48957	0.59661	0.14373	0.29288	49.97049	0.45329	3.19041	27923.11036	0.88695	117676032.0
37	1	2	13.5	2788.44346	0.32512	0.16368	0.00144	12.23269	0.45149	0.01568	2.1135	0.36529	8705.63807
38	1	2	14.5	2503.05496	0.30749	0.14693	0.00056	8.36007	0.37832	0.00612	1.69	0.28837	4715.16764
39	1	2	15.5	1739.64955	0.26224	0.10212	0.00012	1.63541	0.16773	0.00129	1.56024	0.16838	2398.64329
106	1	5	10.5	5443.069	0.80555	0.31951	0.32604	59.71738	0.44818	3.55161	38836.45071	0.93367	113267984.66149
107	1	5	11.5	4384.82874	0.70503	0.25739	0.28764	53.90784	0.45149	3.13334	28469.00471	0.90869	122808320.0
108	1	5	12.5	2531.34131	0.59656	0.14859	0.28797	49.71234	0.4533	3.13693	25902.60916	0.88537	115476480.0
109	1	5	13.5	2769.17773	0.32413	0.16255	0.00158	12.59674	0.45446	0.01723	2.24083	0.37262	9335.03737
110	1	5	14.5	2816.91387	0.32589	0.16535	0.00054	8.55475	0.3895	0.00585	1.64081	0.29216	4910.61089
111	1	5	15.5	1947.83971	0.27446	0.11434	0.00012	2.06408	0.17658	0.00132	1.53514	0.17523	2937.69725
181	1	8	13.5	1388.9014	0.24539	0.08153	0.00386	14.09536	0.44414	0.04208	3.6355	0.40285	7500.55367
182	1	8	14.5	2064.01305	0.28206	0.12116	0.0009	9.52963	0.40075	0.00983	1.91544	0.31127	5022.48589
183	1	8	15.5	1692.24352	0.25945	0.09933	0.00012	1.54959	0.16543	0.00129	1.57942	0.16703	2381.67495
201	1	9	9.5	585.37658	0.20682	0.03436	0.01246	16.32581	0.17963	0.1357	5.76145	0.44757	4466.14368
202	1	9	10.5	4298.7955	0.72828	0.25234	0.31594	57.74143	0.44771	3.44159	29832.83899	0.92602	79233602.19351
203	1	9	11.5	2608.16807	0.56797	0.1531	0.25487	48.76321	0.44949	2.77633	14176.90477	0.87937	48940032.0
225	1	10	9.5	603.55263	0.20764	0.03543	0.01222	16.33714	0.18503	0.13307	5.66533	0.4478	4533.26868
226	1	10	10.5	6049.48424	0.83917	0.3551	0.32406	59.99679	0.44828	3.53011	37054.39135	0.93469	127940608.0
227	1	10	11.5	7071.07907	0.87899	0.41507	0.30391	57.47962	0.45156	3.31061	39838.67765	0.92494	236818432.0
228	1	10	12.5	3703.95978	0.70396	0.21742	0.32654	54.30428	0.45472	3.55707	43978.7863	0.91064	266145792.0
229	1	10	13.5	3494.94288	0.36611	0.20515	0.00095	11.34591	0.43899	0.01038	1.81418	0.34745	8043.35227
230	1	10	14.5	3642.78203	0.3742	0.21383	0.00036	7.89464	0.34865	0.00397	1.50624	0.27937	6060.4594
231	1	10	15.5	2129.53846	0.28513	0.125	0.00013	2.56899	0.18796	0.00141	1.52162	0.18346	2892.94725
249	1	11	9.5	475.57345	0.20039	0.02792	0.01247	15.35156	0.11318	0.13583	5.88894	0.42811	3869.53324
250	1	11	10.5	3266.32941	0.65911	0.19173	0.30738	55.7497	0.44485	3.34832	24144.00786	0.91745	58104832.0
251	1	11	11.5	4929.22082	0.73913	0.28935	0.28978	54.62979	0.45154	3.15667	30069.14774	0.91222	138205184.0
252	1	11	12.5	3504.16161	0.67988	0.20569	0.31419	53.0859	0.45365	3.4225	38278.55488	0.9045	216289280.0
253	1	11	13.5	3451.51646	0.36361	0.2026	0.00101	11.5223	0.44253	0.01099	1.84312	0.35099	8222.35227
254	1	11	14.5	3607.23125	0.37214	0.21174	0.00039	8.15995	0.36086	0.0043	1.51688	0.28449	6105.2094
255	1	11	15.5	2172.92813	0.28768	0.12755	0.00013	2.65217	0.19002	0.00142	1.51729	0.18483	2910.84015
417	1	18	9.5	656.17754	0.21011	0.03852	0.01159	16.38958	0.20473	0.12627	5.4413	0.44884	4706.33693
418	1	18	10.5	4105.39473	0.72279	0.24099	0.3218	57.0968	0.44835	3.50546	34780.6289	0.92334	114010112.0
419	1	18	11.5	7199.70621	0.88672	0.42262	0.3041	57.56416	0.45154	3.31265	42403.93357	0.92529	233885696.0
420	1	18	12.5	4005.21323	0.71286	0.23511	0.31775	53.95941	0.45471	3.46136	39611.06839	0.90894	260280320.0
421	1	18	13.5	3381.07874	0.3597	0.19847	0.00123	12.20755	0.45321	0.01336	1.96092	0.36478	8809.90087
422	1	18	14.5	3001.22575	0.33677	0.17617	0.0006	9.13767	0.41192	0.00649	1.63731	0.30356	5236.49804
423	1	18	15.5	1793.6849	0.26547	0.10529	0.00018	3.20877	0.20787	0.00196	1.61147	0.19414	2679.44244
585	1	25	9.5	815.90071	0.21857	0.04789	0.01068	16.45584	0.20188	0.11634	4.67871	0.45016	5901.68348
586	1	25	10.5	1520.23941	0.26168	0.08924	0.01245	19.70513	0.44761	0.13557	5.43868	0.51354	12161.36696
587	1	25	11.5	4005.54457	0.66481	0.23513	0.26968	51.87934	0.45099	2.93774	21020.55813	0.89803	90731520.0
588	1	25	12.5	2559.62548	0.57818	0.15025	0.26793	48.21756	0.45289	2.91861	21501.70325	0.8758	85771704.73443
589	1	25	13.5	2774.45606	0.32475	0.16286	0.00189	13.30377	0.45332	0.02058	2.44914	0.38688	10538.76976
590	1	25	14.5	3200.3141	0.34848	0.18786	0.00062	9.4898	0.43391	0.00674	1.63991	0.31049	5496.03384
591	1	25	15.5	2493.95312	0.30658	0.1464	0.00018	4.2396	0.24312	0.00198	1.52386	0.21188	3338.86444
592	1	25	16.5	838.83802	0.20924	0.04924	0.0	0.0	0.0	0.0	1.70602	0.14352	1217.94816
660	1	28	12.5	1872.91985	0.46598	0.10994	0.19604	40.85968	0.4509	2.13549	6004.47725	0.81721	27036160.0
661	1	28	13.5	2562.32236	0.31271	0.15041	0.0023	13.84324	0.45362	0.02506	2.71624	0.39777	11015.79468
662	1	28	14.5	3138.54911	0.3449	0.18423	0.00067	9.73996	0.44139	0.00732	1.67166	0.31543	5585.53384
663	1	28	15.5	2578.80207	0.31157	0.15138	0.0002	4.60098	0.25604	0.00213	1.5249	0.21826	3561.16479
664	1	28	16.5	716.86881	0.20208	0.04208	0.0	0.0	0.0	0.0	1.80589	0.14352	1216.1029
