ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	234.01015	0.17374	0.01374	0.0	0.0	0.0	0.0	1.47752	0.14352	315.58396
10	1	1	10.5	391.45563	0.18298	0.02298	0.0	0.0	0.0	0.0	1.55265	0.14352	706.05986
11	1	1	11.5	462.02849	0.18712	0.02712	0.0	0.0	0.0	0.0	1.92515	0.14352	1178.06717
34	1	2	10.5	358.10945	0.18102	0.02102	0.0	0.0	0.0	0.0	1.57666	0.14352	605.99604
35	1	2	11.5	484.26776	0.18843	0.02843	0.0	0.0	0.0	0.0	1.9253	0.14352	1308.39977
36	1	2	12.5	535.33351	0.19149	0.03142	7e-05	0.0	0.01219	0.00075	2.82283	0.14352	2412.07184
37	1	2	13.5	862.64578	0.47768	0.05064	0.26704	44.7541	0.02364	2.90896	28978.81736	0.85074	26302976.0
38	1	2	14.5	944.95765	0.49951	0.05547	0.28404	47.22335	0.01552	3.09416	22544.73741	0.86903	17733888.0
39	1	2	15.5	290.79764	0.17707	0.01707	0.0	0.0	0.0	0.0	3.13326	0.14352	1452.32104
106	1	5	10.5	394.25909	0.18314	0.02314	0.0	0.0	0.0	0.0	1.54476	0.14352	728.43486
107	1	5	11.5	495.28786	0.18907	0.02907	0.0	0.0	0.0	0.0	1.9058	0.14352	1300.90289
108	1	5	12.5	552.93571	0.19253	0.03246	8e-05	0.0	0.01433	0.00084	2.78448	0.14352	2446.35917
109	1	5	13.5	884.7977	0.47218	0.05194	0.26024	44.05352	0.04064	2.8349	26451.23474	0.84515	24093556.64209
110	1	5	14.5	1108.33974	0.51614	0.06506	0.29108	48.69502	0.02213	3.17085	27166.2155	0.87893	21100649.20419
111	1	5	15.5	301.62654	0.17771	0.01771	0.0	0.0	0.0	0.0	3.15238	0.14352	1486.60837
181	1	8	13.5	501.35524	0.34704	0.02943	0.15761	32.01853	0.00028	1.71686	3605.68959	0.71635	4250176.0
182	1	8	14.5	797.80451	0.46883	0.04683	0.262	44.15141	0.02118	2.85403	14238.4896	0.84594	11524736.0
183	1	8	15.5	294.40446	0.17728	0.01728	0.0	0.0	0.0	0.0	3.11837	0.14352	1421.72434
201	1	9	9.5	239.50154	0.17406	0.01406	0.0	0.0	0.0	0.0	1.47192	0.14352	325.22572
202	1	9	10.5	406.57891	0.18387	0.02387	0.0	0.0	0.0	0.0	1.53727	0.14352	688.12476
203	1	9	11.5	480.56984	0.18821	0.02821	0.0	0.0	0.0	0.0	1.88506	0.14352	1172.47342
225	1	10	9.5	246.0276	0.17444	0.01444	0.0	0.0	0.0	0.0	1.47116	0.14352	338.46863
226	1	10	10.5	407.47355	0.18392	0.02392	0.0	0.0	0.0	0.0	1.53819	0.14352	794.07692
227	1	10	11.5	435.37584	0.18556	0.02556	0.0	0.0	0.0	0.0	1.95451	0.14352	1212.38778
228	1	10	12.5	482.41408	0.18832	0.02832	0.0	0.0	0.0	0.0	2.90164	0.14352	1857.24552
229	1	10	13.5	1018.62296	0.50255	0.05979	0.28276	47.2115	0.00236	3.08016	38814.39336	0.86895	40416768.0
230	1	10	14.5	1413.38826	0.54975	0.08297	0.30679	51.74829	0.00648	3.34189	41158.10189	0.8973	33438018.44318
231	1	10	15.5	321.53848	0.17887	0.01887	0.0	0.0	0.0	0.0	3.1523	0.14352	1554.45819
249	1	11	9.5	178.28934	0.17047	0.01047	0.0	0.0	0.0	0.0	1.47469	0.14352	295.45389
250	1	11	10.5	374.98339	0.18201	0.02201	0.0	0.0	0.0	0.0	1.55844	0.14352	611.58979
251	1	11	11.5	513.84322	0.19016	0.03016	0.0	0.0	0.0	0.0	1.86553	0.14352	1290.30458
252	1	11	12.5	550.03451	0.19232	0.03229	3e-05	0.0	0.00604	0.00033	2.8059	0.14352	2201.02557
253	1	11	13.5	991.6297	0.49905	0.05821	0.28084	46.8176	0.00443	3.05925	38670.58168	0.86617	39316992.0
254	1	11	14.5	1364.64676	0.54069	0.0801	0.30058	50.89795	0.01159	3.27431	35806.08979	0.89247	32535040.0
255	1	11	15.5	324.16272	0.17903	0.01903	0.0	0.0	0.0	0.0	3.16255	0.14352	1576.10837
417	1	18	9.5	272.22608	0.17598	0.01598	0.0	0.0	0.0	0.0	1.47378	0.14352	388.25214
418	1	18	10.5	416.94781	0.18447	0.02447	0.0	0.0	0.0	0.0	1.52224	0.14352	863.04727
419	1	18	11.5	463.39365	0.1872	0.0272	0.0	0.0	0.0	0.0	1.89149	0.14352	1207.15645
420	1	18	12.5	509.35511	0.1899	0.0299	0.0	0.0	0.0	0.0	2.77361	0.14352	1865.46714
421	1	18	13.5	988.93627	0.48529	0.05805	0.26724	45.31925	0.01949	2.91112	32192.36466	0.85512	35834368.0
422	1	18	14.5	1164.37684	0.51452	0.06835	0.28617	48.40875	0.03095	3.11728	27851.30388	0.87706	22858293.48167
423	1	18	15.5	344.04778	0.1802	0.0202	0.0	0.0	0.0	0.0	3.0898	0.14352	1599.20819
585	1	25	9.5	266.10168	0.17562	0.01562	0.0	0.0	0.0	0.0	1.46645	0.14352	417.34141
586	1	25	10.5	418.1039	0.18454	0.02454	0.0	0.0	0.0	0.0	1.50207	0.14352	773.54727
587	1	25	11.5	568.17714	0.19335	0.03335	0.0	0.0	0.0	0.0	1.80269	0.14352	1309.12451
588	1	25	12.5	590.15108	0.19466	0.03464	2e-05	0.0	0.00407	0.00019	2.48224	0.14352	2175.68469
589	1	25	13.5	873.33865	0.44413	0.05126	0.23286	41.21792	0.06227	2.53664	19534.64224	0.82055	21491456.0
590	1	25	14.5	1231.35154	0.50928	0.07228	0.277	47.73841	0.04528	3.01746	24226.9725	0.87258	24653312.0
591	1	25	15.5	407.63614	0.18393	0.02393	0.0	0.0	0.0	0.0	3.01543	0.14352	1742.40464
592	1	25	16.5	173.17616	0.17017	0.01017	0.0	0.0	0.0	0.0	2.32546	0.14352	575.04921
660	1	28	12.5	577.95053	0.19393	0.03393	0.0	0.0	0.0001	0.0	2.41422	0.14352	2013.80394
661	1	28	13.5	843.41949	0.42931	0.04951	0.2198	39.77697	0.0743	2.39433	15325.03425	0.80678	16582352.64028
662	1	28	14.5	1196.00577	0.5029	0.07021	0.2727	47.08829	0.05068	2.97054	22851.02572	0.86809	23141120.0
