ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	361.35415	0.18121	0.02121	0.0	0.0	0.0	0.0	1.93779	0.14352	640.1188
10	1	1	10.5	967.01871	0.21676	0.05676	0.0	0.0	0.0	0.0	1.97904	0.14352	1859.55315
11	1	1	11.5	790.73168	0.20646	0.04642	4e-05	0.0	0.01713	0.00048	2.42308	0.14352	2221.95092
34	1	2	10.5	610.49176	0.19584	0.03584	0.0	0.0	0.0	0.0	2.05949	0.14352	1296.65645
35	1	2	11.5	952.32445	0.21619	0.0559	0.00028	2.80652	0.09329	0.00309	2.37107	0.18739	2592.58807
36	1	2	12.5	1040.44784	0.22579	0.06107	0.00472	13.76012	0.3424	0.05139	7.11353	0.39609	116160.18396
37	1	2	13.5	1490.73747	0.30516	0.08751	0.05766	27.58218	0.3993	0.62808	121.00507	0.65143	433896.0
38	1	2	14.5	1431.48456	0.3267	0.08403	0.08267	30.63325	0.26713	0.90057	109.37283	0.69713	305732.0
39	1	2	15.5	530.39302	0.19245	0.03113	0.00132	6.44695	0.01479	0.01438	3.32331	0.2519	2336.79179
106	1	5	10.5	990.4291	0.21814	0.05814	0.0	0.0	0.0	0.0	1.96783	0.14352	1878.23745
107	1	5	11.5	1094.44716	0.22525	0.06424	0.00101	7.89528	0.21802	0.01095	2.34581	0.27939	2843.58199
108	1	5	12.5	1064.36219	0.22633	0.06248	0.00385	13.09817	0.35543	0.04193	5.00902	0.38274	84690.1944
109	1	5	13.5	1486.5775	0.29884	0.08726	0.05157	26.73486	0.41422	0.5618	105.92679	0.63793	396664.0
110	1	5	14.5	1616.4174	0.34013	0.09488	0.08525	31.42148	0.30292	0.92862	119.67194	0.70819	364444.0
111	1	5	15.5	570.71488	0.19547	0.0335	0.00197	8.15585	0.02644	0.02145	3.31917	0.28441	2482.22929
181	1	8	13.5	744.33905	0.2153	0.04369	0.0116	16.07151	0.15409	0.1264	21.87854	0.4425	73234.1944
182	1	8	14.5	1163.4361	0.2932	0.06829	0.0649	27.68434	0.23801	0.70699	71.04931	0.65303	199764.0
183	1	8	15.5	529.31591	0.19204	0.03107	0.00097	5.31866	0.01194	0.01052	3.31427	0.23113	2321.91359
201	1	9	9.5	363.98632	0.18137	0.02137	0.0	0.0	0.0	0.0	1.946	0.14352	642.91568
202	1	9	10.5	868.41729	0.21098	0.05098	0.0	0.0	0.0	0.0	1.98634	0.14352	1699.96227
203	1	9	11.5	827.07476	0.20861	0.04855	6e-05	0.0	0.02319	0.00061	2.38452	0.14352	2255.51342
225	1	10	9.5	378.11322	0.1822	0.0222	0.0	0.0	0.0	0.0	1.94742	0.14352	661.27653
226	1	10	10.5	1074.02639	0.22305	0.06305	0.0	0.0	0.0	0.0	1.94485	0.14352	1971.42815
227	1	10	11.5	1405.61779	0.24505	0.08251	0.00254	12.39292	0.45836	0.02765	2.28058	0.36851	3243.43269
228	1	10	12.5	1348.47111	0.2444	0.07916	0.00525	15.25887	0.5076	0.05714	4.66929	0.42625	109952.38879
229	1	10	13.5	1859.1965	0.33617	0.10913	0.06703	29.72	0.53423	0.73019	160.54817	0.68394	665880.0
230	1	10	14.5	2114.06383	0.38125	0.1241	0.09715	34.0699	0.39044	1.0583	171.01263	0.74306	574232.0
231	1	10	15.5	615.72373	0.19875	0.03614	0.00261	9.47426	0.04315	0.02838	3.31308	0.31018	2664.58199
249	1	11	9.5	298.9278	0.17755	0.01755	0.0	0.0	0.0	0.0	1.98013	0.14352	553.25112
250	1	11	10.5	741.03904	0.2035	0.0435	0.0	0.0	0.0	0.0	2.00213	0.14352	1467.26582
251	1	11	11.5	1186.8101	0.23134	0.06967	0.00167	10.12859	0.30344	0.01822	2.28155	0.32314	2933.08199
252	1	11	12.5	1312.15373	0.24183	0.07702	0.00481	14.84872	0.50721	0.05236	3.95123	0.41801	80036.1944
253	1	11	13.5	1836.01174	0.33317	0.10777	0.06539	29.46316	0.5342	0.71233	156.48915	0.68015	648696.0
254	1	11	14.5	2087.69625	0.37794	0.12255	0.0954	33.80551	0.39214	1.03918	165.27947	0.73974	557048.0
255	1	11	15.5	625.33819	0.19942	0.03671	0.00272	9.68763	0.04684	0.02958	3.31173	0.3144	2716.71322
