ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	6634.86949	0.82453	0.38947	0.27507	55.90072	0.9504	2.99638	5798.28658	0.91813	35776474.29868
10	1	1	10.5	9905.17092	0.76906	0.58143	0.02762	34.11416	2.56834	0.30089	3.36531	0.74362	29333.6687
11	1	1	11.5	18208.03803	1.0	1.06881	0.29745	62.76686	1.13312	3.24018	8187.34647	0.94402	106678272.0
34	1	2	10.5	8394.06393	0.68053	0.49273	0.0278	32.48158	1.12788	0.30279	4.08205	0.72256	24513.33112
35	1	2	11.5	24995.75664	1.0	1.46725	0.32612	66.70113	1.1336	3.55252	16971.68126	0.95508	196051400.91411
36	1	2	12.5	31396.13073	1.0	1.84295	0.33044	68.75885	1.16563	3.59954	22531.44628	0.95998	282275840.0
37	1	2	13.5	37091.61181	1.0	2.17728	0.35382	71.68755	1.17857	3.85423	35976.41761	0.96607	400219687.40866
38	1	2	14.5	25080.31754	1.0	1.47221	0.34615	69.45369	1.52698	3.77065	30171.8838	0.96152	264278320.74681
39	1	2	15.5	5071.60636	0.49002	0.2977	0.03232	30.07328	0.86069	0.35207	3.88408	0.68909	20095.74216
106	1	5	10.5	9987.29656	0.77348	0.58625	0.02722	34.02971	2.57188	0.29654	3.3203	0.74256	30061.2659
107	1	5	11.5	31179.84426	1.0	1.83026	0.34155	68.95767	1.17826	3.72063	25269.09366	0.96043	296273303.85008
108	1	5	12.5	31168.45617	1.0	1.82959	0.32492	68.1243	1.17305	3.53947	19775.98894	0.95853	274944000.0
109	1	5	13.5	34148.27545	1.0	2.0045	0.34253	70.04911	1.18865	3.73132	27375.43757	0.96279	362926080.0
110	1	5	14.5	28382.01972	1.0	1.66602	0.3458	69.90213	1.60606	3.7669	29982.48884	0.96248	316002304.0
111	1	5	15.5	5295.46296	0.50273	0.31084	0.03189	30.45526	1.23717	0.34739	3.73119	0.69459	20599.58936
181	1	8	13.5	14308.70206	1.0	0.83992	0.27784	60.55388	1.12957	3.02656	5652.26881	0.93668	65039856.31666
182	1	8	14.5	19413.89861	1.0	1.1396	0.3245	65.91125	1.12685	3.53486	18527.26494	0.95304	169732096.0
183	1	8	15.5	5166.58179	0.49472	0.30328	0.03145	30.08381	0.85128	0.34256	3.90162	0.68924	19761.46917
201	1	9	9.5	6668.67357	0.82217	0.39145	0.27072	55.51816	0.95871	2.94901	5536.00839	0.91639	35386381.95147
202	1	9	10.5	9922.46984	0.76973	0.58245	0.02728	33.13082	1.62648	0.29714	3.67368	0.73109	31683.8631
203	1	9	11.5	19180.46412	1.0	1.12589	0.29707	62.86374	1.13368	3.23602	8569.73272	0.94432	117676032.0
225	1	10	9.5	6837.64322	0.83064	0.40137	0.26927	55.46949	0.97681	2.93325	5350.55765	0.91617	38767104.0
226	1	10	10.5	10345.19375	0.79335	0.60726	0.02609	33.81999	2.58252	0.28416	3.16308	0.73992	31266.81189
