ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	91.04334	0.16534	0.00534	0.0	0.0	0.0	0.0	7.72923	0.14352	811.1873
10	1	1	10.5	260.86153	0.17968	0.01531	0.00437	8.53137	0.00175	0.04759	7.29887	0.2917	2083.36972
11	1	1	11.5	224.15298	0.17316	0.01316	0.0	0.0	0.0	0.0	5.49707	0.14352	1341.23745
34	1	2	10.5	160.69337	0.16943	0.00943	0.0	0.0	0.0	0.0	6.37374	0.14352	1095.71043
35	1	2	11.5	270.07078	0.17585	0.01585	0.0	0.0	0.0	0.0	5.2729	0.14352	1523.92815
36	1	2	12.5	573.0082	0.47737	0.03364	0.28374	44.98385	0.0002	3.09084	10388.85122	0.85254	3535662.65159
37	1	2	13.5	660.61768	0.49776	0.03878	0.29898	46.95712	0.00024	3.2569	13350.35251	0.86716	4937536.0
38	1	2	14.5	252.17634	0.1748	0.0148	0.0	0.0	0.0	0.0	4.70528	0.14352	1828.29827
39	1	2	15.5	139.75915	0.1682	0.0082	0.0	0.0	0.0	0.0	6.20408	0.14352	1559.07345
106	1	5	10.5	265.04167	0.18522	0.01556	0.00966	11.63347	0.00415	0.10522	7.47265	0.35323	2160.9574
107	1	5	11.5	315.05054	0.17849	0.01849	0.0	0.0	0.0	0.0	5.43378	0.14352	1699.23745
108	1	5	12.5	550.31948	0.47009	0.0323	0.27778	44.14968	0.00029	3.02597	9039.09563	0.84593	3494080.0
109	1	5	13.5	647.61476	0.4946	0.03801	0.29658	46.5831	0.00024	3.23076	12914.92915	0.8645	4490105.22597
110	1	5	14.5	281.75373	0.17668	0.01654	0.00014	0.0	4e-05	0.00151	4.8255	0.14352	2052.04827
111	1	5	15.5	151.79374	0.16891	0.00891	0.0	0.0	0.0	0.0	6.35161	0.14352	1760.44845
181	1	8	13.5	247.03782	0.39922	0.0145	0.22472	36.18543	0.00023	2.44793	2309.77711	0.76846	804784.0
