ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	641.48495	0.34891	0.03766	0.15126	32.04809	0.00022	1.6477	254.4399	0.71675	879248.0
10	1	1	10.5	1567.78789	0.25712	0.09203	0.00509	15.12242	0.26709	0.05547	2.13587	0.42351	2565.88187
11	1	1	11.5	1581.8768	0.44917	0.09286	0.19631	38.9475	0.00028	2.13844	543.14466	0.79845	3127488.0
34	1	2	10.5	1022.39676	0.22001	0.06001	0.0	0.0	0.0	0.0	1.86995	0.14352	1356.90705
35	1	2	11.5	1991.02819	0.5049	0.11687	0.22803	42.63742	0.00025	2.48395	1181.35129	0.83327	5716544.0
36	1	2	12.5	2353.70231	0.53732	0.13816	0.23916	44.26345	0.00399	2.60522	1765.45769	0.84684	8225408.0
37	1	2	13.5	2606.91748	0.57797	0.15303	0.26495	47.14175	0.00752	2.88613	3043.49224	0.86846	11662208.0
38	1	2	14.5	1875.89071	0.52575	0.11011	0.25563	45.25597	0.04444	2.78466	2638.96523	0.85464	7507543.99282
39	1	2	15.5	830.00776	0.20885	0.04872	0.00013	0.0	0.0044	0.0014	2.25179	0.14352	2240.71955
106	1	5	10.5	1599.5576	0.25959	0.09389	0.00569	15.68357	0.30871	0.06203	2.15882	0.43476	2674.791
107	1	5	11.5	2474.02082	0.5535	0.14523	0.24827	45.33032	0.00525	2.70448	1977.11743	0.85521	8564470.97234
108	1	5	12.5	2443.84193	0.54417	0.14345	0.24071	44.57075	0.00689	2.62217	1886.83773	0.8493	8087328.51302
109	1	5	13.5	2622.40089	0.57414	0.15393	0.2602	46.65214	0.00778	2.83442	2754.79523	0.86499	10508500.98282
110	1	5	14.5	2096.046	0.53836	0.12304	0.25532	45.62488	0.08101	2.78128	2619.08363	0.85744	8912768.0
111	1	5	15.5	900.6484	0.2138	0.05287	0.00093	6.79622	0.032	0.01011	2.27345	0.25845	2528.62867
181	1	8	13.5	1258.00166	0.40485	0.07384	0.171	35.92698	0.00027	1.86277	322.99023	0.76547	1895968.0
182	1	8	14.5	1572.69327	0.47929	0.09232	0.22697	41.85196	0.00213	2.47243	1357.63942	0.82633	4800064.0
183	1	8	15.5	831.17687	0.20885	0.04879	6e-05	0.0	0.0021	0.00062	2.19305	0.14352	2169.90385
201	1	9	9.5	648.45297	0.34133	0.03806	0.14327	31.34928	0.00023	1.56064	223.75573	0.70719	850608.0
202	1	9	10.5	1420.87793	0.24517	0.08341	0.00177	10.54163	0.05845	0.01927	2.04544	0.33136	2238.4785
203	1	9	11.5	1665.68734	0.45495	0.09778	0.19717	39.20196	0.00029	2.14784	591.4058	0.80104	3402432.0
225	1	10	9.5	671.44173	0.34347	0.03941	0.14406	31.52105	0.00021	1.56929	228.79012	0.70956	936528.0
226	1	10	10.5	1723.30346	0.2674	0.10116	0.00624	16.29632	0.31549	0.06798	2.20649	0.44698	2960.07225
227	1	10	11.5	3415.41199	0.63474	0.20048	0.27426	49.48196	0.33395	2.98755	3777.55449	0.88394	16530889.00483
228	1	10	12.5	3591.09373	0.64191	0.2108	0.27111	49.03166	0.09317	2.95331	4043.80361	0.8811	18650368.0
229	1	10	13.5	3411.48999	0.64063	0.20025	0.28037	49.76988	0.10899	3.05419	4706.6186	0.88572	17771259.96031
230	1	10	14.5	2662.57855	0.59394	0.15629	0.27765	48.74053	0.12056	3.0245	4635.92404	0.87923	14158404.02719
231	1	10	15.5	987.03381	0.21956	0.05794	0.00162	9.13463	0.08002	0.0177	2.29266	0.3035	2779.6226
249	1	11	9.5	537.49213	0.36826	0.03155	0.17671	33.89035	0.00021	1.92493	525.36005	0.74081	1085456.0
250	1	11	10.5	1224.5398	0.23188	0.07188	0.0	0.0	0.0	0.0	1.98809	0.14352	1816.31937
251	1	11	11.5	2623.47249	0.55939	0.154	0.24539	45.36169	0.08108	2.6731	1908.76958	0.85545	9783424.0
252	1	11	12.5	3341.27323	0.61459	0.19613	0.25846	47.47402	0.06597	2.81542	2991.1826	0.87077	15167744.0
253	1	11	13.5	3352.89696	0.63585	0.19682	0.27904	49.53183	0.08936	3.03962	4598.95419	0.88425	17309842.30059
254	1	11	14.5	2647.33706	0.59084	0.1554	0.27544	48.46458	0.11199	3.00047	4440.54423	0.87743	13777130.99263
255	1	11	15.5	1002.85054	0.22057	0.05887	0.00171	9.36649	0.08392	0.01859	2.29789	0.30806	2825.82225
417	1	18	9.5	751.60102	0.34747	0.04412	0.14335	31.80525	0.00021	1.56159	249.0834	0.71346	1033904.0
418	1	18	10.5	2382.34686	0.54378	0.13984	0.24394	45.61706	0.31056	2.6573	2182.21173	0.85738	9783424.0
419	1	18	11.5	3474.14493	0.62582	0.20393	0.26189	48.44512	0.35411	2.85278	3050.51264	0.8773	16450816.0
420	1	18	12.5	3768.71796	0.64868	0.22122	0.26745	48.90659	0.09601	2.91344	4090.35973	0.8803	18257813.97244
421	1	18	13.5	3298.96301	0.61718	0.19365	0.26353	48.03397	0.10637	2.87068	3417.16854	0.87457	15900928.0
422	1	18	14.5	2286.61037	0.54336	0.13422	0.24914	45.34556	0.08658	2.71393	2524.64335	0.85532	9600128.0
423	1	18	15.5	946.96709	0.21593	0.05559	0.00035	3.43427	0.01358	0.00377	2.14737	0.19796	2294.416
585	1	25	9.5	1110.9756	0.42976	0.06521	0.20455	38.73392	0.00863	2.22817	1144.93073	0.79625	3425344.0
586	1	25	10.5	1934.30832	0.49732	0.11354	0.22378	42.85121	0.26069	2.43765	1532.39185	0.83511	6713216.0
587	1	25	11.5	2322.10707	0.51292	0.13631	0.21662	42.09625	0.01319	2.35966	1164.90664	0.82852	6284612.34676
588	1	25	12.5	2295.59483	0.50587	0.13475	0.21112	41.60004	0.00809	2.29981	1155.35272	0.82405	6020561.66103
589	1	25	13.5	2665.0969	0.54922	0.15644	0.23278	44.17308	0.02875	2.53576	1810.19089	0.84612	9371008.0
590	1	25	14.5	2509.16178	0.55442	0.14729	0.24713	45.47155	0.10122	2.69202	2659.40064	0.85628	10151290.66335
591	1	25	15.5	1257.14438	0.2358	0.07379	0.00201	10.65079	0.09662	0.02185	2.24739	0.33354	3252.3969
