ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	2715.12419	0.58496	0.15938	0.26558	49.09493	0.31554	2.89304	5035.12368	0.8815	13773897.06162
10	1	1	10.5	4562.89869	0.44903	0.26784	0.02119	27.71017	0.99946	0.23084	2.90722	0.65344	11713.86696
11	1	1	11.5	7837.32096	0.91421	0.46005	0.29416	59.71131	1.14459	3.20431	8039.1392	0.93365	44195221.09143
34	1	2	10.5	3582.27892	0.39403	0.21028	0.02375	27.98666	0.96014	0.25868	3.6679	0.65775	9788.33529
35	1	2	11.5	10612.0586	1.0	0.62293	0.31528	62.86674	1.14906	3.43438	13625.00175	0.94433	81566720.0
36	1	2	12.5	13708.23566	1.0	0.80467	0.32239	64.96611	1.12237	3.51192	18975.86072	0.95049	117676032.0
37	1	2	13.5	15992.9125	1.0	0.93878	0.34149	67.10979	1.01572	3.71994	27095.40862	0.9561	166066176.0
38	1	2	14.5	10954.30273	1.0	0.64302	0.33558	64.56103	0.93076	3.65551	24192.43872	0.94935	106563668.69524
39	1	2	15.5	2447.58237	0.32607	0.14367	0.0224	24.74745	0.65446	0.24398	3.28158	0.60491	8088.10227
106	1	5	10.5	4597.82842	0.45072	0.26989	0.02083	27.61277	0.99681	0.22688	2.87753	0.65191	12071.86696
107	1	5	11.5	13585.64954	1.0	0.79748	0.33324	65.42749	1.15007	3.63003	21534.33549	0.95175	122700452.99096
108	1	5	12.5	13833.76083	1.0	0.81204	0.32314	65.04444	1.12927	3.52008	19595.24018	0.95071	115232901.90624
109	1	5	13.5	16058.50745	1.0	0.94263	0.33551	66.59416	1.04072	3.65479	23788.90171	0.95481	146685939.76648
110	1	5	14.5	12144.7612	1.0	0.7129	0.33661	65.00752	0.9354	3.66681	24866.25122	0.9506	127940608.0
111	1	5	15.5	2590.29778	0.33384	0.15205	0.02179	24.92651	0.69014	0.23741	3.16589	0.60796	8311.85227
181	1	8	13.5	6136.95415	0.79119	0.36024	0.27095	56.32808	1.00096	2.95149	5016.78713	0.92003	27023242.8492
182	1	8	14.5	8385.29918	0.96531	0.49222	0.31309	61.24213	0.94155	3.41058	14553.2115	0.93906	68736000.0
183	1	8	15.5	2470.85887	0.32692	0.14504	0.02188	24.30382	0.54636	0.23831	3.30359	0.59729	7950.95297
201	1	9	9.5	2711.14703	0.58073	0.15914	0.26158	48.69519	0.31439	2.84948	4860.88214	0.87893	13607561.76638
202	1	9	10.5	4422.14742	0.44152	0.25958	0.02194	28.09296	1.01519	0.23895	3.19619	0.6594	12680.43855
203	1	9	11.5	8192.44339	0.93533	0.4809	0.29443	59.82264	1.14618	3.20732	8575.03938	0.93406	47961020.3104
225	1	10	9.5	2780.3082	0.58258	0.1632	0.25938	48.58612	0.32185	2.82544	4609.7183	0.87822	14892800.0
226	1	10	10.5	4788.25136	0.46074	0.28107	0.01967	27.3767	1.0003	0.21424	2.76331	0.64819	12525.16556
227	1	10	11.5	20290.49478	1.0	1.19105	0.34786	68.13882	1.10325	3.78929	31609.02364	0.95856	238284800.0
228	1	10	12.5	22973.45603	1.0	1.34854	0.34512	69.19317	1.09029	3.75945	34817.69194	0.96095	264679424.0
229	1	10	13.5	21504.72945	1.0	1.26233	0.34989	69.1086	1.00135	3.81141	35116.8047	0.96076	254414848.0
230	1	10	14.5	16734.97492	1.0	0.98234	0.34843	67.5285	0.89153	3.79556	33940.4358	0.95712	203091968.0
231	1	10	15.5	2777.67879	0.34455	0.16305	0.0215	25.18817	0.71479	0.23423	3.10166	0.61239	8628.00157
249	1	11	9.5	2466.18898	0.58708	0.14477	0.28232	50.32427	0.25238	3.07535	8437.76126	0.88908	17275648.0
250	1	11	10.5	3869.76975	0.40823	0.22716	0.02107	27.39455	0.98615	0.22953	3.20846	0.64847	10472.99608
251	1	11	11.5	14283.8224	1.0	0.83846	0.33051	65.21847	1.14981	3.60032	20998.41746	0.95118	137472000.0
252	1	11	12.5	20832.47852	1.0	1.22287	0.34058	68.35228	1.12711	3.71007	31383.66162	0.95906	216253397.33498
253	1	11	13.5	21327.2809	1.0	1.25191	0.34903	69.00556	1.00745	3.80207	34847.34048	0.96054	247083008.0
254	1	11	14.5	15947.9972	1.0	0.93615	0.34644	67.05971	0.90153	3.77385	32556.19239	0.95597	197226496.0
255	1	11	15.5	2812.09506	0.34654	0.16507	0.02147	25.22752	0.71725	0.23391	3.08578	0.61306	8705.63807
417	1	18	9.5	3118.61923	0.60467	0.18306	0.26161	49.35703	0.36337	2.84977	5293.92752	0.88316	16523928.61632
418	1	18	10.5	12507.87444	1.0	0.73421	0.33259	63.89286	0.99528	3.62302	24643.24147	0.94743	142604288.0
419	1	18	11.5	20953.69586	1.0	1.22998	0.34534	68.04225	1.11561	3.7619	32515.76214	0.95834	232079949.17123
420	1	18	12.5	22886.56434	1.0	1.34344	0.3446	69.0115	1.10987	3.75376	37394.66296	0.96055	260168480.32497
421	1	18	13.5	20205.90149	1.0	1.18609	0.3394	67.84122	1.03498	3.69715	29996.4239	0.95786	225087488.0
422	1	18	14.5	13347.05993	1.0	0.78347	0.33606	65.34477	0.94526	3.66074	27683.14666	0.95153	139666929.12857
423	1	18	15.5	2823.59445	0.34852	0.16574	0.02278	25.77246	0.74616	0.24812	3.37436	0.62217	8929.38807
585	1	25	9.5	5488.33484	0.79558	0.32217	0.31342	56.93815	0.42306	3.41416	19192.90384	0.92267	57394165.99833
586	1	25	10.5	9852.4551	1.0	0.57834	0.31734	61.58786	1.00286	3.4569	19200.83343	0.94022	99346432.0
