ann_hour	month	day	hour	illum	dgp	dgp_t1	dgp_t2	ugr	srcarea	log_gc	gcr	ugp	maxlum
9	1	1	9.5	239.97219	0.17409	0.01409	0.0	0.0	0.0	0.0	7.36836	0.14352	949.51482
10	1	1	10.5	742.30311	0.22843	0.04357	0.02486	19.67933	0.08718	0.27081	6.37586	0.51305	2912.15664
11	1	1	11.5	1193.51818	0.34199	0.07006	0.11193	33.86533	0.12564	1.21926	116.25284	0.74049	122124.38879
34	1	2	10.5	475.35808	0.18978	0.0279	0.00187	7.30158	0.00382	0.0204	7.60004	0.26802	2098.88842
35	1	2	11.5	1735.66974	0.38987	0.10188	0.12799	37.59003	0.1611	1.39423	172.52632	0.78415	218380.0
36	1	2	12.5	2176.27469	0.42004	0.12775	0.13229	39.19147	0.17184	1.44106	213.44878	0.80093	301092.39876
37	1	2	13.5	959.88484	0.26293	0.05635	0.04659	25.29685	0.17286	0.50749	10.43304	0.61422	41760.64319
38	1	2	14.5	666.71571	0.21797	0.03914	0.01884	17.75707	0.057	0.2052	6.28462	0.47586	2492.69197
39	1	2	15.5	402.94958	0.18365	0.02365	0.0	0.0	0.0	0.0	6.32364	0.14352	1342.75367
106	1	5	10.5	750.02258	0.22891	0.04403	0.02489	19.7267	0.08879	0.27111	6.41742	0.51395	2889.78164
107	1	5	11.5	2277.84379	0.43171	0.13371	0.138	39.77678	0.17014	1.50322	222.93169	0.80678	328644.0
108	1	5	12.5	2117.05881	0.41537	0.12427	0.1311	38.85422	0.17272	1.42807	209.14393	0.79749	294936.35762
109	1	5	13.5	990.94747	0.26712	0.05817	0.04896	25.70831	0.17316	0.53329	12.11267	0.6211	53449.28638
110	1	5	14.5	737.64674	0.22756	0.0433	0.02426	19.5748	0.0891	0.26426	6.18565	0.51105	2707.88234
111	1	5	15.5	441.01343	0.18589	0.02589	0.0	0.0	0.0	0.0	6.28581	0.14352	1454.62867
181	1	8	13.5	550.52546	0.21516	0.03232	0.02284	18.10968	0.04633	0.24882	9.64006	0.48275	14358.41879
182	1	8	14.5	594.16689	0.20909	0.03488	0.01422	15.96053	0.03434	0.15486	6.65435	0.44029	2348.70412
183	1	8	15.5	400.59793	0.18352	0.02352	0.0	0.0	0.0	0.0	6.31485	0.14352	1319.42715
201	1	9	9.5	241.47379	0.17417	0.01417	0.0	0.0	0.0	0.0	7.31779	0.14352	940.17267
202	1	9	10.5	657.14366	0.21939	0.03857	0.02082	18.25862	0.06432	0.22679	6.94415	0.48566	2710.78164
203	1	9	11.5	1219.27869	0.34389	0.07157	0.11232	33.97022	0.13087	1.22351	123.77732	0.74181	131432.38879
225	1	10	9.5	249.55721	0.17465	0.01465	0.0	0.0	0.0	0.0	7.27846	0.14352	966.29607
226	1	10	10.5	792.81032	0.23275	0.04654	0.02621	20.2912	0.1036	0.28555	6.42316	0.52465	2956.90664
227	1	10	11.5	3606.38017	0.52385	0.21169	0.15216	43.60286	0.22574	1.65752	318.38297	0.84145	634376.0
228	1	10	12.5	3566.06758	0.52077	0.20933	0.15144	43.46866	0.22092	1.64964	346.07832	0.84034	680254.86787
229	1	10	13.5	1230.5778	0.30287	0.07223	0.07064	29.52909	0.21605	0.7695	26.67695	0.68113	132723.10959
230	1	10	14.5	876.36098	0.24675	0.05144	0.03531	22.95947	0.16979	0.38462	5.99575	0.57368	3071.81409
231	1	10	15.5	479.42008	0.18814	0.02814	0.0	0.0	0.0	0.0	6.25788	0.14352	1556.041
249	1	11	9.5	198.19454	0.17163	0.01163	0.0	0.0	0.0	0.0	7.73063	0.14352	821.25427
250	1	11	10.5	554.90776	0.19866	0.03257	0.00609	12.19584	0.01603	0.06632	7.06904	0.36454	2236.10429
251	1	11	11.5	2400.06135	0.44087	0.14088	0.13999	40.04478	0.17474	1.52491	243.6721	0.80941	370888.0
252	1	11	12.5	3026.92982	0.48328	0.17768	0.1456	42.08512	0.22052	1.5861	302.07729	0.82842	554184.0
253	1	11	13.5	1227.87618	0.30415	0.07208	0.07207	29.68564	0.21578	0.78509	28.58242	0.68343	137249.25779
254	1	11	14.5	876.22311	0.24692	0.05143	0.03549	23.00083	0.17029	0.38657	6.04188	0.57442	3094.18909
255	1	11	15.5	487.43489	0.18861	0.02861	0.0	0.0	0.0	0.0	6.24924	0.14352	1589.6035
